degree,clean,cluster
Computer Science: Computer Science and Science Communication and Society (Master 2022-2023) - Prospectus - Universiteit Leiden,Computer Science Computer Science Science Communication Society,267
"History: Cities, Migration and Global Interdependence (including Economic History &amp; Governance of Migration and Diversity) (Master 2022-2023) - Prospectus - Universiteit Leiden",History Cities Migration Global Interdependence,130
Psychology - master | UiT,Psychology,57
Master in Materials science and engineering - Catalogue des formations,Materials science engineering,70
Minor - Communication systems minor - EPFL,Communication systems,46
Literary Studies: English Literature and Culture (Master 2022-2023) - Prospectus - Universiteit Leiden,Literary Studies English Literature Culture,24
Language and Culture Education: French (Master 2022-2023) - Prospectus - Universiteit Leiden,Language Culture Education French,1
Education and Child Studies: Kinderen met leer- en gedragsproblemen in het onderwijs (Master 2022-2023) - Prospectus - Universiteit Leiden,Education Child Studies Kinderen met leer gedragsproblemen het onderwijs,88
"Art History: Arts, Media and Society (Bachelor 2022-2023) - Prospectus - Universiteit Leiden",Art History Arts Media Society,259
Japan Studies (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Japan Studies,224
Biology: Biodiversity and Sustainability (Master 2022-2023) - Prospectus - Universiteit Leiden,Biology Biodiversity Sustainability,101
Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,19
Second year of Master&#39;s Programme in Public Health with a Specialization in Health Economics,Second year Public Health with Specialization Health Economics,87
Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,255
Archaeology: Heritage and Society (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology Heritage Society,187
Master Cycle - Energy Science and Technology - EPFL,Energy Science Technology,193
Informatics: Digital Economics and leadership (master's two years) – University of Oslo,Informatics Digital Economics leadership,192
Minor - Neuroprosthetics minor - EPFL,Neuroprosthetics,31
Marine Biotechnology - master | UiT,Marine Biotechnology,150
Artificial Intelligence and Society (Minor 2022-2023) - Prospectus - Universiteit Leiden,Artificial Intelligence Society,195
Media Studies: Film and Photographic Studies (Master 2022-2023) - Prospectus - Universiteit Leiden,Media Studies Film Photographic Studies,25
"Minor - Management, Technology and Entrepreneurship minor - EPFL",Management Technology Entrepreneurship,34
Education and Child Studies: Parenting and child development (Master 2022-2023) - Prospectus - Universiteit Leiden,Education Child Studies Parenting child development,5
Master Cycle - Humanities and Social Sciences Program - EPFL,Humanities Social Sciences Program,59
Electives Academy of Creative and Performing Arts (Optional course 2022-2023) - Prospectus - Universiteit Leiden,Electives Academy Creative Performing Arts,138
Higher Education (master's 2-years) – University of Oslo,Higher Education,197
Master&#39;s Programme in Computing Science,Computing Science,2
Internationaal en Intercultureel Management (Minor 2022-2023) - Prospectus - Universiteit Leiden,Internationaal Intercultureel Management,111
Medicine (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Medicine,72
Master&#39;s Programme in Public Health with a Specialization in Health Economics,Public Health with Specialization Health Economics,51
Environmental Law - master | UiT,Environmental Law,147
Asian Studies (120 EC): Japanese Studies (Master 2022-2023) - Prospectus - Universiteit Leiden,Asian Studies Japanese Studies,224
Public Health - master | UiT,Public Health,17
Air and Space Law Blended Learning (Advanced Master Programme) (Master 2022-2023) - Prospectus - Universiteit Leiden,Air Space Law Blended Learning,149
Entrepreneurship and Innovation Management (master's 2-years) – University of Oslo,Entrepreneurship Innovation Management,34
African Dynamics (Minor 2022-2023) - Prospectus - Universiteit Leiden,African Dynamics,257
History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,15
Honours College Medicine (Honours Education 2022-2023) - Prospectus - Universiteit Leiden,College Medicine,179
Minor - Neuro-X minor - EPFL,Neuro,31
Bachelor Honours Classes (Honours Education 2022-2023) - Prospectus - Universiteit Leiden,Classes,90
Middle East studies: Israel Studies (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Middle East studies Israel Studies,4
Master Cycle - Molecular & Biological Chemistry - EPFL,Molecular Biological Chemistry,234
Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy Research,12
Master&#39;s programme in environmental science with focus on sustainable development,programme environmental science with focus sustainable development,216
Journalism (LUC) (Modular 2022-2023) - Prospectus - Universiteit Leiden,Journalism,211
Cultural Anthropology and Development Sociology: Visual Ethnography (Master 2022-2023) - Prospectus - Universiteit Leiden,Cultural Anthropology Development Sociology Visual Ethnography,56
Middle Eastern Studies (Research) (Master 2022-2023) - Prospectus - Universiteit Leiden,Middle Eastern Studies,4
Media Studies: Cultural Analysis: Literature and Theory (Master 2022-2023) - Prospectus - Universiteit Leiden,Media Studies Cultural Analysis Literature Theory,79
Disinformation and Strategic Communication in Global Media (Minor 2022-2023) - Prospectus - Universiteit Leiden,Disinformation Strategic Communication Global Media,104
Astronomy and Science Communication and Society (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy Science Communication Society,183
