topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Mathematical Statistics,Master,Banking Services,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.08136374986608692
Mathematical Statistics,Master,Financial Instrument,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.1429896409932241
Mathematical Statistics,Master,Risk Analysis,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.07025811469473657
Mathematical Statistics,Master,Integral Calculus,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.1166038993528676
Mathematical Statistics,Master,Artificial Neural Networks,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.0746012490990855
Mathematical Statistics,Master,Support Vector Machine,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.09261923579230687
Mathematical Statistics,Master,Supervised Learning,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.08402375555495126
Mathematical Statistics,Master,Unsupervised Learning,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.07597275854663202
Mathematical Statistics,Master,Genetic Engineering,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.10306955495767502
Mathematical Statistics,Master,Bioinformatics,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.1166038993528676
Mathematical Statistics,Master,Gene Expression,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.09664385633509306
Mathematical Statistics,Master,Genetics,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.11963788763686561
Mathematical Statistics,Master,Genomics,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.08800196794091182
Mathematical Statistics,Master,Structural Biology,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.08496797965691383
Mathematical Statistics,Master,Confidence Intervals,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.10132379288386147
Mathematical Statistics,Master,MATLAB,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.08222340340776953
Mathematical Statistics,Master,Scientific Studies,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.055318796286839465
